URL,Title,Price,Condition,Stitched,Occasion,Material,Brand,Work,Style,Season,Pattern,Sleeves,Color,Gender,Length,Work,Neck,Country of Origin,,,,,,,,,,,,,,,
https://www.ebay.com/itm/355907928784?itmmeta=01JW69BT2QEKGAZV51TEBFHV5T&hash=item52ddc402d0:g:okYAAOSwGXtmpype,Red Sequin Embroidered Kurta Pant Dupatta Set – Ready to Wear,US $53.29,New without tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel",georgette,Handmade,No,Salwar Kameez,"Winter , Summer And Spring",Flared Kurta With Pant & Dupatta,3/4 Sleeve,Maroon,Women,Full (52inch),Sequence Embroidery Work,Round Neck,India,https://i.ebayimg.com/images/g/okYAAOSwGXtmpype/s-l1600.webp,https://i.ebayimg.com/images/g/j1UAAOSwtLVmpypi/s-l1600.webp,https://i.ebayimg.com/images/g/RpIAAOSwZMhmpypg/s-l1600.webp,https://i.ebayimg.com/images/g/dq0AAOSwvoFmpypk/s-l1600.webp,https://i.ebayimg.com/images/g/Q2wAAOSw59Vmpypc/s-l1600.webp,https://i.ebayimg.com/images/g/~xQAAOSwV-dmpypS/s-l1600.webp,https://i.ebayimg.com/images/g/99IAAOSw2MRmpypZ/s-l1600.webp,https://i.ebayimg.com/images/g/rtMAAOSwIOtlsS0o/s-l1600.webp,,,,,,,
https://www.ebay.com/itm/355558680147?itmmeta=01JW69BT2N4MBE3SNQEZT4PEWZ&hash=item52c8f2e653:g:AyMAAOSwFjhl-TOL,Full Flared Anarkali Gown with Dupatta – Indian Wedding Wear,US $53.29,New without tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel",georgette,Handmade,No,Salwar Kameez,"Winter , Summer And Spring",Flared Kurta With Dupatta,3/4 Sleeve,White,Women,Full,Embroidery Sequence Work,V Neck,India,https://i.ebayimg.com/images/g/AyMAAOSwFjhl-TOL/s-l1600.webp,https://i.ebayimg.com/images/g/-tYAAOSw1Kxl-TOJ/s-l1600.webp,https://i.ebayimg.com/images/g/KwYAAOSwp7Zl-TOC/s-l1600.webp,https://i.ebayimg.com/images/g/tZ8AAOSwIaNl-TOG/s-l1600.webp,https://i.ebayimg.com/images/g/qL8AAOSwA0Vl-TN8/s-l1600.webp,https://i.ebayimg.com/images/g/7hUAAOSwMOJl-TN~/s-l1600.webp,https://i.ebayimg.com/images/g/rtMAAOSwIOtlsS0o/s-l1600.webp,,,,,,,,
https://www.ebay.com/itm/356062552648?itmmeta=01JW69BT2R7P143ECRTJ5V5C93&hash=item52e6fb6248:g:tbgAAOSw6K5m67uI,Pakistani Straight Kurti Pant Set – Readymade Salwar Kameez,US $32.79,New without tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel",Cotton,Handmade,No,Salwar Kameez,"Winter , Summer And Spring",Kurta With Pant,3/4 Sleeve,Blue,Women,Knee (46 inch),Printed,Round Neck,India,https://i.ebayimg.com/images/g/tbgAAOSw6K5m67uI/s-l1600.webp,https://i.ebayimg.com/images/g/Ul0AAOSwnblm67uF/s-l1600.webp,https://i.ebayimg.com/images/g/bOgAAOSwwT1m67uA/s-l1600.webp,https://i.ebayimg.com/images/g/T9MAAOSwS8Zm67t7/s-l1600.webp,https://i.ebayimg.com/images/g/JRQAAOSwogRlzMF3/s-l1600.webp,,,,,,,,,,
https://www.ebay.com/itm/355455944312?itmmeta=01JW68R8NYJGQPAQK4HMM76N2E&hash=item52c2d34678:g:69EAAOSwP51lyIPe,Black Pakistani Palazzo Kurta Dupatta Set – Bollywood Style,US $36.89,New without tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel",Rayon,Handmade,No,Salwar Kameez,"Winter , Summer And Spring",Straight Kurta With Palazzo & Dupatta,3/4 Sleeve,Black,Women,Knee,Embroidery Work,Round Neck,India,https://i.ebayimg.com/images/g/69EAAOSwP51lyIPe/s-l1600.webp,https://i.ebayimg.com/images/g/DYYAAOSw8cZlyIPg/s-l1600.webp,https://i.ebayimg.com/images/g/-uoAAOSwOZBlyIPi/s-l1600.webp,https://i.ebayimg.com/images/g/fIUAAOSw-WplyIPb/s-l1600.webp,https://i.ebayimg.com/images/g/dIAAAOSwV39lyIP3/s-l1600.webp,https://i.ebayimg.com/images/g/Z50AAOSwcV9lsS8K/s-l1600.webp,,,,,,,,,
https://www.ebay.com/itm/355445990665?itmmeta=01JW68N2RZ92HNQHHDKCH14R5A&hash=item52c23b6509:g:6rEAAOSwu0plw125,Kurta Pant Dupatta Combo – Indian Wedding Ready Salwar Kameez,US $36.89,New without tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel",Rayon,Handmade,No,Salwar Kameez,"Winter , Summer And Spring",Straight Kurta With Pant & Dupatta,3/4 Sleeve,Pink,Women,Knee,Printed,Round Neck,India,https://i.ebayimg.com/images/g/6rEAAOSwu0plw125/s-l1600.webp,https://i.ebayimg.com/images/g/KZwAAOSwSHplw123/s-l1600.webp,https://i.ebayimg.com/images/g/HYUAAOSw2tZlw12w/s-l1600.webp,https://i.ebayimg.com/images/g/9zMAAOSwP8Rlw12z/s-l1600.webp,https://i.ebayimg.com/images/g/x8wAAOSwz89lw121/s-l1600.webp,https://i.ebayimg.com/images/g/QroAAOSwMvNlw12u/s-l1600.webp,https://i.ebayimg.com/images/g/ZngAAOSwJTtlw12o/s-l1600.webp,https://i.ebayimg.com/images/g/Z50AAOSwcV9lsS8K/s-l1600.webp,,,,,,,
https://www.ebay.com/itm/355473737735?itmmeta=01JW69BT2QFC2GRPQ31T64NAK9&hash=item52c3e2c807:g:V3QAAOSwrRxl0eyX,Designer Kurti Pant with Dupatta – Festival Wear 3-Piece Set,US $36.89,New without tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel","Rayon, Malmal Dupatta",Handmade,No,Salwar Kameez,"Winter , Summer And Spring",Straight Kurta With Pant & Dupatta,3/4 Sleeve,Peach,Women,Knee (46 inch),Embroidery Work,Round Neck,India,https://i.ebayimg.com/images/g/V3QAAOSwrRxl0eyX/s-l1600.webp,https://i.ebayimg.com/images/g/mYQAAOSwASll0eyS/s-l1600.webp,https://i.ebayimg.com/images/g/OE0AAOSwrM9l0eyQ/s-l1600.webp,https://i.ebayimg.com/images/g/ZFgAAOSwgatl0eyU/s-l1600.webp,https://i.ebayimg.com/images/g/XukAAOSwa1Rl0eyW/s-l1600.webp,https://i.ebayimg.com/images/g/A1EAAOSwTzhl0eyO/s-l1600.webp,https://i.ebayimg.com/images/g/JRQAAOSwogRlzMF3/s-l1600.webp,,,,,,,,
https://www.ebay.com/itm/355469125265?itmmeta=01JW69BT2RKGNDSB2NQWSJPP8A&hash=item52c39c6691:g:aIYAAOSwkARlz1a5,Pakistani Sharara Kurta Dupatta Set – Eid Wedding Special,US $53.29,New without tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel",georgette,Handmade,No,Salwar Kameez,"Winter , Summer And Spring",Straight Kurta With Sharara & Dupatta,3/4 Sleeve,Orange,Women,Knee,Thread Sequence Work,Round Neck,India,https://i.ebayimg.com/images/g/aIYAAOSwkARlz1a5/s-l1600.webp,https://i.ebayimg.com/images/g/yXUAAOSwVBhlz1ax/s-l1600.webp,https://i.ebayimg.com/images/g/AY0AAOSwnixlz1as/s-l1600.webp,https://i.ebayimg.com/images/g/-SUAAOSwHKplz1an/s-l1600.webp,https://i.ebayimg.com/images/g/bN8AAOSwXVFlz1af/s-l1600.webp,https://i.ebayimg.com/images/g/rtMAAOSwIOtlsS0o/s-l1600.webp,,,,,,,,,
https://www.ebay.com/itm/356828233634?itmmeta=01JW69BT2MJT3V83DFSY6Z3B9K&hash=item53149ebfa2:g:FzwAAOSwS39oDJ9n,Plus Size Kurta Palazzo Set – Designer Co-Ord Upto 7XL,US $35.25,New without tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel",Cotton,Handmade,No,Salwar Kameez,"Winter , Summer And Spring",Short Kurta(shirt) With Palazzo,3/4 Sleeve,White,Women,Shirt (30inch),Hand Aari Embroidery Work,Collar Neck,India,https://i.ebayimg.com/images/g/FzwAAOSwS39oDJ9n/s-l1600.webp,https://i.ebayimg.com/images/g/fpoAAOSwxjpoDJ9n/s-l1600.webp,https://i.ebayimg.com/images/g/hzUAAOSw1s5oDJ9l/s-l1600.webp,https://i.ebayimg.com/images/g/oOIAAOSwcZNoDJ9k/s-l1600.webp,https://i.ebayimg.com/images/g/R3kAAOSwlgZoDJ9m/s-l1600.webp,https://i.ebayimg.com/images/g/nDsAAOSwZtZoDJ-C/s-l1600.webp,https://i.ebayimg.com/images/g/Z50AAOSwcV9lsS8K/s-l1600.webp,,,,,,,,
https://www.ebay.com/itm/355722037648?itmmeta=01JW69BT2SWVKTN4PKSHW81GBB&hash=item52d2af8990:g:XSoAAOSwZ7hmR6Oz,Rama Green Naira Cut Kurta Pant Set – Designer Salwar Kameez,US $22.13,New without tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel",Rayon,Handmade,No,Salwar Kameez,"Winter , Summer And Spring",Straight Naira Cut Kurta With Pant,3/4 Sleeve,Green,Women,Knee (47 inch),Printed And Hand Embroidery Work,Round Neck,India,https://i.ebayimg.com/images/g/XSoAAOSwZ7hmR6Oz/s-l1600.webp,https://i.ebayimg.com/images/g/lB8AAOSwLFFmR6Op/s-l1600.webp,https://i.ebayimg.com/images/g/P28AAOSwiK5mR6Os/s-l1600.webp,https://i.ebayimg.com/images/g/bvkAAOSwmTxmR6OD/s-l1600.webp,https://i.ebayimg.com/images/g/FUkAAOSwW4xmR6Oa/s-l1600.webp,https://i.ebayimg.com/images/g/JRQAAOSwogRlzMF3/s-l1600.webp,,,,,,,,,
https://www.ebay.com/itm/356753569671?itmmeta=01JW68R8NV5PBQNCECG572M59X&hash=item53102b7787:g:vzMAAOSwnQln9iko,Pink Anarkali Kurta Palazzo Set – Women's Salwar Suit,US $36.89,New without tags,Yes Fully Stitched,"Wedding , Festival , Partywear , Travel",Cotton,Handmade,No,Salwar Kameez,"Winter , Summer And Spring",Anarkali Kurta With Pant & Dupatta,3/4 Sleeve,Pink,Women,Below The Knee (48inch),Embroidery Work And Printed Dupatta,V Neck,India,https://i.ebayimg.com/images/g/vzMAAOSwnQln9iko/s-l1600.webp,https://i.ebayimg.com/images/g/hroAAOSwWUVn9ikn/s-l1600.webp,https://i.ebayimg.com/images/g/DswAAOSwBpVn9iko/s-l1600.webp,https://i.ebayimg.com/images/g/dzQAAOSwWEBn9iko/s-l1600.webp,https://i.ebayimg.com/images/g/P2kAAOSwDapn9ikp/s-l1600.webp,https://i.ebayimg.com/images/g/v1kAAOSw1ytn9iko/s-l1600.webp,https://i.ebayimg.com/images/g/SYgAAOSwgYxn9iko/s-l1600.webp,https://i.ebayimg.com/images/g/cGIAAOSw5jtn9ikp/s-l1600.webp,https://i.ebayimg.com/images/g/Z50AAOSwcV9lsS8K/s-l1600.webp,,,,,,
