*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),CustomLabel,*Category,StoreCategory,*Title,Subtitle,Relationship,RelationshipDetails,ScheduleTime,*ConditionID,C:Style,C:Gender,C:Size,C:Material,C:Brand,C:Country/Region of Manufacture,C:MPN,C:Color,C:California Prop 65 Warning,PicURL,GalleryType,VideoID,*Description,*Format,*Duration,*StartPrice,BuyItNowPrice,BestOfferEnabled,BestOfferAutoAcceptPrice,MinimumBestOfferPrice,*Quantity,ImmediatePayRequired,*Location,ShippingType,ShippingService-1:Option,ShippingService-1:Cost,ShippingService-2:Option,ShippingService-2:Cost,*DispatchTimeMax,PromotionalShippingDiscount,ShippingDiscountProfileID,*ReturnsAcceptedOption,ReturnsWithinOption,RefundOption,ShippingCostPaidByOption,AdditionalDetails,ShippingProfileName,ReturnProfileName,PaymentProfileName,ProductCompliancePolicyID,Regional ProductCompliancePolicies,Product Safety Pictograms,Product Safety Statements,Product Safety Component,Regulatory Document Ids,Manufacturer Name,Manufacturer AddressLine1,Manufacturer AddressLine2,Manufacturer City,Manufacturer Country,Manufacturer PostalCode,Manufacturer StateOrProvince,Manufacturer Phone,Manufacturer Email,Manufacturer ContactURL,Responsible Person 1,Responsible Person 1 Type,Responsible Person 1 AddressLine1,Responsible Person 1 AddressLine2,Responsible Person 1 City,Responsible Person 1 Country,Responsible Person 1 PostalCode,Responsible Person 1 StateOrProvince,Responsible Person 1 Phone,Responsible Person 1 Email,Responsible Person 1 ContactURL
Add,,155249,,Red Sequin Embroidered Kurta Pant Dupatta Set – Ready to Wear,,,Size=XS;S;M;L;XL;XXL,,1500,Salwar Kameez,Women,,georgette,Handmade,India,,Maroon,,https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/1/cleanimg/1.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/1/cleanimg/2.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/1/cleanimg/3.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/1/cleanimg/4.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/1/cleanimg/5.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/1/cleanimg/6.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/1/cleanimg/7.webp,,,"Description:
Experience elegance and comfort with Red Sequin Embroidered Kurta Pant Dupatta Set – Ready to Wear, thoughtfully crafted for Wedding , Festival , Partywear , Travel. Designed in georgette, this fully yes fully stitched outfit features a stunning flared kurta with pant & dupatta enhanced with no. The eye-catching maroon tones add a stylish flair, while the 3/4 sleeve and round neck design offer a perfect blend of tradition and modern aesthetics. Ideal for winter , summer and spring, this outfit is a must-have in every wardrobe. Proudly handmade in India, it reflects timeless craftsmanship and grace.

Details:
- Title: Red Sequin Embroidered Kurta Pant Dupatta Set – Ready to Wear
- Price: US $53.29
- Occasion: Wedding , Festival , Partywear , Travel
- Material: georgette
- Brand: Handmade
- Style: Salwar Kameez
- Season: Winter , Summer And Spring
- Pattern: Flared Kurta With Pant & Dupatta
- Sleeves: 3/4 Sleeve
- Color: Maroon
- Gender: Women
- Length: Full (52inch)
- Work: No
- Neck: Round Neck
- Country of Origin: India",FixedPrice,10,,,,,,,,India,,USPSStandardPost,0.00,,,7,,,ReturnsAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Variation,Size=XS,,,,,,,,,,,,,,,,,,53.29,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Variation,Size=S,,,,,,,,,,,,,,,,,,53.29,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Variation,Size=M,,,,,,,,,,,,,,,,,,53.29,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Variation,Size=L,,,,,,,,,,,,,,,,,,53.29,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Variation,Size=XL,,,,,,,,,,,,,,,,,,53.29,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Variation,Size=XXL,,,,,,,,,,,,,,,,,,53.29,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,,155249,,Full Flared Anarkali Gown with Dupatta – Indian Wedding Wear,,,Size=XS;S;M;L;XL;XXL,,1500,Salwar Kameez,Women,,georgette,Handmade,India,,White,,https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/2/cleanimg/1.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/2/cleanimg/2.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/2/cleanimg/3.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/2/cleanimg/4.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/2/cleanimg/5.webp|https://raw.githubusercontent.com/Test197-root/Ebaydata/refs/heads/main/2/cleanimg/6.webp,,,"Description:
Experience elegance and comfort with Full Flared Anarkali Gown with Dupatta – Indian Wedding Wear, thoughtfully crafted for Wedding , Festival , Partywear , Travel. Designed in georgette, this fully yes fully stitched outfit features a stunning flared kurta with dupatta enhanced with no. The eye-catching white tones add a stylish flair, while the 3/4 sleeve and v neck design offer a perfect blend of tradition and modern aesthetics. Ideal for winter , summer and spring, this outfit is a must-have in every wardrobe. Proudly handmade in India, it reflects timeless craftsmanship and grace.

Details:
- Title: Full Flared Anarkali Gown with Dupatta – Indian Wedding Wear
- Price: US $53.29
- Occasion: Wedding , Festival , Partywear , Travel
- Material: georgette
- Brand: Handmade
- Style: Salwar Kameez
- Season: Winter , Summer And Spring
- Pattern: Flared Kurta With Dupatta
- Sleeves: 3/4 Sleeve
- Color: White
- Gender: Women
- Length: Full
- Work: No
- Neck: V Neck
- Country of Origin: India",FixedPrice,10,,,,,,,,India,,USPSStandardPost,0.00,,,7,,,ReturnsAccepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Variation,Size=XS,,,,,,,,,,,,,,,,,,53.29,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Variation,Size=S,,,,,,,,,,,,,,,,,,53.29,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
